problem_size,condition_number,matrix_type,method,iterations,time,final_residual,relative_error
2000,100.0,Banded,CG (SciPy),91,0.21434209262952209,1.5115694752268924e-05,3.1651357084938824e-08
2000,100.0,Banded,PCG (Jacobi),55,0.13216064777225256,1.228573322606848e-05,2.4820446247885287e-08
2000,100.0,Banded,"PCG (Jacobi, SciPy)",56,0.15580506715923548,1.228573314289821e-05,2.4820446130203946e-08
2000,100.0,Banded,PCG (Inverse),1,0.4604785037226975,2.3084676446396637e-12,4.84686530445185e-15
2000,100.0,Banded,"PCG (Inverse, SciPy)",2,0.0031415666453540325,2.3084676446396637e-12,4.84686530445185e-15
2000,10000.0,SPD Dense,Gaussian Elimination,0,0.34795864298939705,1.0966760671816501e-10,4.066077128753105e-13
2000,10000.0,SPD Dense,Steepest Descent,10001,13.495196149218827,1.4961726513436213,0.019500146723611684
2000,10000.0,SPD Dense,CG (Custom),652,0.5885903229936957,0.0009489761258724249,1.7430103427265257e-06
2000,10000.0,SPD Dense,CG (SciPy),641,1.1167932078242302,0.0010338783747236783,2.0179933050995058e-06
2000,10000.0,SPD Dense,PCG (Jacobi),580,1.0091914888471365,0.0010172644936096548,1.6686716589005454e-06
2000,10000.0,SPD Dense,"PCG (Jacobi, SciPy)",578,1.4614159050397575,0.000967635439496546,1.6521399946988651e-06
2000,10000.0,SPD Dense,PCG (Inverse),1,0.3746009902097285,3.3681321604668924e-08,1.021744537961392e-12
2000,10000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.0029375399462878704,3.368156043246905e-08,1.021744537961392e-12
2000,10000.0,Banded,Gaussian Elimination,0,0.16962565388530493,6.251966884938561e-11,1.653612802095842e-15
2000,10000.0,Banded,Steepest Descent,10001,9.046210496220738,34.387175381447314,0.36001596563177174
2000,10000.0,Banded,CG (Custom),456,0.4654060769826174,0.0010973253665042034,4.960802639169495e-07
2000,10000.0,Banded,CG (SciPy),456,0.8596823308616877,0.0011002336925754995,4.826659154996543e-07
2000,10000.0,Banded,PCG (Jacobi),25,0.059175158850848675,0.0009008827790735853,9.90494138013823e-07
2000,10000.0,Banded,"PCG (Jacobi, SciPy)",26,0.07328291982412338,0.0009008827801443344,9.90494138013823e-07
2000,10000.0,Banded,PCG (Inverse),1,0.30580119183287024,4.847318535303897e-11,3.9346345851058515e-15
2000,10000.0,Banded,"PCG (Inverse, SciPy)",2,0.003285842016339302,4.8617073155667655e-11,3.9346345851058515e-15
2000,1000000.0,SPD Dense,Gaussian Elimination,0,0.18958618212491274,8.864973205457447e-09,2.4427072745804942e-11
2000,1000000.0,SPD Dense,Steepest Descent,10001,9.106229084078223,391.3843886487916,0.44211091208424314
2000,1000000.0,SPD Dense,CG (Custom),4542,4.141908987890929,0.08456843819485373,5.5466499700208695e-05
2000,1000000.0,SPD Dense,CG (SciPy),4371,7.641862761229277,0.07574323593643814,6.42408529753466e-05
2000,1000000.0,SPD Dense,PCG (Jacobi),4115,7.186156094074249,0.08285360570924248,5.26526096937365e-05
2000,1000000.0,SPD Dense,"PCG (Jacobi, SciPy)",3984,10.029271303210407,0.08421049100344408,5.863558215399344e-05
2000,1000000.0,SPD Dense,PCG (Inverse),1,0.34401634195819497,0.00019010589694877072,1.0409386353220794e-10
